preprocessing,embeddings,micro_f1,macro_f1
"['sw', 'eb']",pos_tag deps sk,0.6959206174200662,0.5898109974729985
"['sw', 'eb']",pos_tag deps sk position,0.7127496159754224,0.61111020862849
"['sw', 'nb']",,0.682424526094079,0.5582124375805705
"['sw', 'nb']",position,0.7004048582995952,0.5841214312954554
"['sw', 'nb']",sk,0.6965547703180212,0.5970249268647719
"['sw', 'nb']",sk position,0.6819293176261391,0.5858287384679508
"['sw', 'nb']",deps,0.7048595630851539,0.5832344428809174
"['sw', 'nb']",deps  position,0.7071921621019818,0.5781662355153351
"['sw', 'nb']",deps sk,0.6967509025270758,0.6023094211536265
"['sw', 'nb']",deps sk position,0.6882976422236643,0.58093107672036
"['sw', 'nb']",pos_tag,0.7025330643353508,0.5832402533950978
"['sw', 'nb']",pos_tag   position,0.6966192170818506,0.5764721093718111
"['sw', 'nb']",pos_tag  sk,0.6952828079588643,0.5943062663491274
"['sw', 'nb']",pos_tag  sk position,0.6861924686192468,0.5918364534371658
"['sw', 'nb']",pos_tag deps,0.6985645933014355,0.569096987943304
"['sw', 'nb']",pos_tag deps  position,0.705511811023622,0.5740860549065706
"['sw', 'nb']",pos_tag deps sk,0.6937445699391833,0.5828337936292884
"['sw', 'nb']",pos_tag deps sk position,0.7096774193548386,0.6088124576694757
"['d', 'b']",,0.8609128271685053,0.7810991648052654
"['d', 'b']",position,0.8758741258741258,0.7979482287685522
"['d', 'b']",sk,0.8846153846153847,0.8085735120478718
"['d', 'b']",sk position,0.8779209434374317,0.8041830254586508
"['d', 'b']",deps,0.8835078534031413,0.8051636208015641
"['d', 'b']",deps  position,0.8762975778546712,0.8029516413437878
"['d', 'b']",deps sk,0.8758965442295154,0.8035945634281728
"['d', 'b']",deps sk position,0.8716707021791769,0.7954609342607663
"['d', 'b']",pos_tag,0.8822619836536338,0.8014713035519344
"['d', 'b']",pos_tag   position,0.8781549173194082,0.8031539055512971
"['d', 'b']",pos_tag  sk,0.8774054054054053,0.8039490432891241
"['d', 'b']",pos_tag  sk position,0.8650427913100724,0.7902337211895952
"['d', 'b']",pos_tag deps,0.8775688675120246,0.8056978139095838
"['d', 'b']",pos_tag deps  position,0.8762954796030872,0.7956170812488847
"['d', 'b']",pos_tag deps sk,0.8697962798937112,0.7941547133965524
"['d', 'b']",pos_tag deps sk position,0.8760794473229708,0.7968260730079958
"['d', 'p']",,0.8775554120938241,0.7988646226475575
"['d', 'p']",position,0.8759964570416298,0.7988539522136394
"['d', 'p']",sk,0.8734395178648299,0.7955014425994554
"['d', 'p']",sk position,0.8733896046201687,0.8016420826343899
"['d', 'p']",deps,0.877070619006103,0.7987955108887878
"['d', 'p']",deps  position,0.8766050054406964,0.7993423850460566
"['d', 'p']",deps sk,0.8730581446959609,0.8053463699671684
"['d', 'p']",deps sk position,0.8700985761226725,0.7952594060468012
"['d', 'p']",pos_tag,0.8761779531010301,0.7979626278462111
"['d', 'p']",pos_tag   position,0.8748101540464309,0.7995423004535827
"['d', 'p']",pos_tag  sk,0.8787678767876788,0.8085172517885669
"['d', 'p']",pos_tag  sk position,0.8674805771365149,0.7915834285899237
"['d', 'p']",pos_tag deps,0.8680738786279683,0.7948965733840977
"['d', 'p']",pos_tag deps  position,0.8736541419468249,0.7855795983133309
"['d', 'p']",pos_tag deps sk,0.8676180021953898,0.7942455415972198
"['d', 'p']",pos_tag deps sk position,0.8743216843933146,0.8020427506123223
"['d', 'eb']",,0.7969140004538234,0.6913712667250752
"['d', 'eb']",position,0.820704845814978,0.7194893145870105
