preprocessing,embeddings,acc,micro_p,micro_r,micro_f1,macro_f1
['sw'],sk,0.81511746680286,0.8243688254665203,0.8505096262740657,0.8372352285395763,0.7717679173891188
['sw'],sk  deps,0.856996935648621,0.8569892473118279,0.9026047565118912,0.8792057363485934,0.8032788126106174
['sw'],sk pos_tags,0.8518896833503575,0.8531618435155413,0.9014722536806342,0.8766519823788547,0.7922410295172484
['sw'],sk pos_tags deps,0.8406537282941777,0.8492407809110629,0.8867497168742922,0.8675900277008309,0.7768645731905215
['sw'],position,0.8600612870275791,0.8625541125541125,0.9026047565118912,0.8821250691754289,0.8087552459185781
['sw'],position   deps,0.8784473953013279,0.8797814207650273,0.911664779161948,0.8954393770856508,0.8416248127702299
['sw'],position  pos_tags,0.8784473953013279,0.8880434782608696,0.9252548131370328,0.9062673322240712,0.8214348404667405
['sw'],position  pos_tags deps,0.8549540347293156,0.8596112311015118,0.9014722536806342,0.8800442233278054,0.7954780751010653
['sw'],position sk,0.8672114402451481,0.8637339055793991,0.911664779161948,0.8870523415977961,0.8184442961170335
['sw'],position sk  deps,0.8324821246169559,0.8416485900216921,0.8788221970554927,0.8598337950138504,0.7696339719908317
['sw'],position sk pos_tags,0.8539325842696629,0.8670329670329671,0.8935447338618346,0.8800892359174568,0.7999236858229511
['sw'],position sk pos_tags deps,0.839632277834525,0.8404710920770878,0.8890147225368064,0.8640616400660429,0.7791207418902582
['d'],,0.9009193054136876,0.9024918743228604,0.943374858437146,0.9224806201550388,0.8552899198149183
['d'],deps,0.8876404494382022,0.8885281385281385,0.9297848244620612,0.90868843386829,0.8410874588779419
['d'],pos_tags,0.8988764044943821,0.8959227467811158,0.9456398640996604,0.9201101928374656,0.8488197398996292
['d'],pos_tags deps,0.8978549540347294,0.9,0.9377123442808608,0.91846921797005,0.8543827495391224
['d'],sk,0.8753830439223698,0.905681818181818,0.9026047565118912,0.9041406693136701,0.8333611993786809
['d'],sk  deps,0.8845760980592441,0.8821656050955414,0.941109852774632,0.9106849315068494,0.8175920705422538
['d'],sk pos_tags,0.8753830439223698,0.8726114649681529,0.9309173272933182,0.9008219178082192,0.8094191213498771
['d'],sk pos_tags deps,0.856996935648621,0.8606911447084233,0.9026047565118912,0.8811498065229408,0.8024644126840903
['d'],position,0.8825331971399387,0.8802139037433155,0.9320498301245752,0.9053905390539054,0.8263449961152997
['d'],position   deps,0.8907048008171604,0.9003285870755751,0.9309173272933182,0.9153674832962138,0.8440110678558568
['d'],position  pos_tags,0.9029622063329928,0.9021505376344086,0.9501698754246886,0.9255377826806398,0.8518154019595936
['d'],position  pos_tags deps,0.8988764044943821,0.9030172413793104,0.9490373725934316,0.9254555494202098,0.840632539737399
['d'],position sk,0.881511746680286,0.8779193205944799,0.9365798414496036,0.9063013698630136,0.8175367612351099
